Function: memchr
Variant: 
                                    generic_memchr	__memchr_lasx	__memchr_lsx	__memchr_aligned
========================================================================================================================
align=0, pos=32, len=2048, seek_char=23, invert_pos=0:         1.08	        0.48 ( 55.59%)	        0.48 ( 55.52%)	        0.84 ( 22.33%)	
align=1, pos=64, len=256, seek_char=23, invert_pos=0:         1.40	        0.56 ( 59.99%)	        0.60 ( 57.14%)	        1.20 ( 14.29%)	
align=0, pos=32, len=2048, seek_char=0, invert_pos=0:         1.08	        0.48 ( 55.55%)	        0.48 ( 55.55%)	        0.84 ( 22.22%)	
align=1, pos=64, len=256, seek_char=0, invert_pos=0:         1.43	        0.56 ( 60.74%)	        0.60 ( 57.94%)	        1.24 ( 13.09%)	
align=16369, pos=64, len=256, seek_char=0, invert_pos=0:         1.44	        0.56 ( 61.19%)	        0.60 ( 58.43%)	        1.20 ( 16.86%)	
align=0, pos=64, len=2048, seek_char=23, invert_pos=0:         1.40	        0.56 ( 59.99%)	        0.60 ( 57.15%)	        1.20 ( 14.29%)	
align=2, pos=64, len=256, seek_char=23, invert_pos=0:         1.43	        0.56 ( 60.74%)	        0.60 ( 57.95%)	        1.20 ( 15.90%)	
align=0, pos=64, len=2048, seek_char=0, invert_pos=0:         1.40	        0.56 ( 60.00%)	        0.60 ( 57.15%)	        1.20 ( 14.29%)	
align=2, pos=64, len=256, seek_char=0, invert_pos=0:         1.40	        0.56 ( 60.00%)	        0.60 ( 57.15%)	        1.20 ( 14.29%)	
align=16369, pos=64, len=256, seek_char=0, invert_pos=0:         1.40	        0.56 ( 60.00%)	        0.60 ( 57.15%)	        1.20 ( 14.29%)	
align=0, pos=128, len=2048, seek_char=23, invert_pos=0:         2.20	        0.64 ( 70.94%)	        0.96 ( 56.41%)	        1.90 ( 13.73%)	
align=3, pos=64, len=256, seek_char=23, invert_pos=0:         1.40	        0.56 ( 60.00%)	        0.60 ( 57.14%)	        1.24 ( 11.44%)	
align=0, pos=128, len=2048, seek_char=0, invert_pos=0:         2.18	        0.64 ( 70.64%)	        0.96 ( 55.97%)	        1.90 ( 12.85%)	
align=3, pos=64, len=256, seek_char=0, invert_pos=0:         1.43	        0.56 ( 60.75%)	        0.60 ( 57.95%)	        1.24 ( 13.10%)	
align=16369, pos=64, len=256, seek_char=0, invert_pos=0:         1.40	        0.56 ( 60.00%)	        0.60 ( 57.15%)	        1.20 ( 14.28%)	
align=0, pos=256, len=2048, seek_char=23, invert_pos=0:         3.68	        0.88 ( 76.08%)	        1.28 ( 65.22%)	        3.20 ( 13.05%)	
align=4, pos=64, len=256, seek_char=23, invert_pos=0:         1.40	        0.56 ( 60.00%)	        0.60 ( 57.14%)	        1.20 ( 14.24%)	
align=0, pos=256, len=2048, seek_char=0, invert_pos=0:         3.69	        0.88 ( 76.14%)	        1.28 ( 65.33%)	        3.20 ( 13.25%)	
align=4, pos=64, len=256, seek_char=0, invert_pos=0:         1.40	        0.56 ( 59.99%)	        0.60 ( 57.14%)	        1.31 (  6.68%)	
align=16369, pos=64, len=256, seek_char=0, invert_pos=0:         1.43	        0.56 ( 60.75%)	        0.60 ( 57.94%)	        1.20 ( 15.91%)	
align=0, pos=512, len=2048, seek_char=23, invert_pos=0:         7.24	        1.36 ( 81.21%)	        2.19 ( 69.69%)	        6.64 (  8.31%)	
align=5, pos=64, len=256, seek_char=23, invert_pos=0:         1.40	        0.58 ( 58.31%)	        0.60 ( 57.14%)	        1.20 ( 14.28%)	
align=0, pos=512, len=2048, seek_char=0, invert_pos=0:         7.25	        1.36 ( 81.18%)	        2.20 ( 69.71%)	        6.65 (  8.22%)	
align=5, pos=64, len=256, seek_char=0, invert_pos=0:         1.40	        0.56 ( 59.95%)	        0.60 ( 57.15%)	        1.20 ( 14.29%)	
align=16369, pos=64, len=256, seek_char=0, invert_pos=0:         1.47	        0.56 ( 61.89%)	        0.60 ( 59.17%)	        1.20 ( 18.35%)	
align=0, pos=1024, len=2048, seek_char=23, invert_pos=0:        13.52	        2.32 ( 82.84%)	        4.12 ( 69.53%)	       11.78 ( 12.89%)	
align=6, pos=64, len=256, seek_char=23, invert_pos=0:         1.40	        0.56 ( 60.00%)	        0.60 ( 57.14%)	        1.20 ( 14.30%)	
align=0, pos=1024, len=2048, seek_char=0, invert_pos=0:        13.54	        2.32 ( 82.86%)	        4.12 ( 69.57%)	       11.76 ( 13.13%)	
align=6, pos=64, len=256, seek_char=0, invert_pos=0:         1.42	        0.56 ( 60.43%)	        0.60 ( 57.61%)	        1.20 ( 15.21%)	
align=16369, pos=64, len=256, seek_char=0, invert_pos=0:         1.43	        0.56 ( 60.75%)	        0.60 ( 57.94%)	        1.20 ( 15.90%)	
align=0, pos=2048, len=2048, seek_char=23, invert_pos=0:        24.67	        4.04 ( 83.62%)	        8.16 ( 66.91%)	       21.58 ( 12.49%)	
align=7, pos=64, len=256, seek_char=23, invert_pos=0:         1.43	        0.56 ( 60.77%)	        0.60 ( 57.96%)	        1.20 ( 15.93%)	
align=0, pos=2048, len=2048, seek_char=0, invert_pos=0:        24.84	        4.06 ( 83.67%)	        8.16 ( 67.14%)	       21.58 ( 13.13%)	
align=7, pos=64, len=256, seek_char=0, invert_pos=0:         1.40	        0.56 ( 60.00%)	        0.60 ( 57.14%)	        1.21 ( 13.88%)	
align=16369, pos=64, len=256, seek_char=0, invert_pos=0:         1.43	        0.56 ( 60.75%)	        0.60 ( 57.95%)	        1.20 ( 15.89%)	
align=1, pos=32, len=192, seek_char=23, invert_pos=0:         1.08	        0.48 ( 55.54%)	        0.48 ( 55.55%)	        0.84 ( 22.23%)	
align=1, pos=32, len=192, seek_char=0, invert_pos=0:         1.08	        0.48 ( 55.55%)	        0.48 ( 55.56%)	        0.84 ( 22.00%)	
align=1, pos=32, len=256, seek_char=23, invert_pos=0:         1.08	        0.48 ( 55.55%)	        0.48 ( 55.56%)	        0.84 ( 22.23%)	
align=1, pos=32, len=256, seek_char=0, invert_pos=0:         1.11	        0.48 ( 56.72%)	        0.48 ( 56.73%)	        0.84 ( 24.27%)	
align=1, pos=32, len=512, seek_char=23, invert_pos=0:         1.08	        0.48 ( 55.55%)	        0.48 ( 55.56%)	        0.84 ( 22.23%)	
align=1, pos=32, len=512, seek_char=0, invert_pos=0:         1.08	        0.48 ( 55.56%)	        0.48 ( 55.56%)	        0.84 ( 22.24%)	
align=16369, pos=32, len=256, seek_char=23, invert_pos=0:         1.08	        0.56 ( 48.16%)	        0.48 ( 55.56%)	        0.84 ( 22.23%)	
align=2, pos=64, len=192, seek_char=23, invert_pos=0:         1.40	        0.56 ( 59.99%)	        0.60 ( 57.14%)	        1.20 ( 14.29%)	
align=2, pos=64, len=192, seek_char=0, invert_pos=0:         1.43	        0.56 ( 60.75%)	        0.60 ( 57.94%)	        1.24 ( 13.10%)	
align=2, pos=64, len=256, seek_char=23, invert_pos=0:         1.40	        0.56 ( 60.00%)	        0.60 ( 57.14%)	        1.20 ( 14.29%)	
align=2, pos=64, len=256, seek_char=0, invert_pos=0:         1.44	        0.56 ( 61.22%)	        0.60 ( 58.45%)	        1.20 ( 16.92%)	
align=2, pos=64, len=512, seek_char=23, invert_pos=0:         1.40	        0.56 ( 60.00%)	        0.60 ( 57.14%)	        1.20 ( 14.29%)	
align=2, pos=64, len=512, seek_char=0, invert_pos=0:         1.40	        0.56 ( 60.00%)	        0.60 ( 57.15%)	        1.20 ( 14.29%)	
align=16369, pos=64, len=256, seek_char=23, invert_pos=0:         1.40	        0.56 ( 60.00%)	        0.60 ( 57.15%)	        1.20 ( 14.29%)	
align=3, pos=96, len=192, seek_char=23, invert_pos=0:         1.80	        0.56 ( 68.89%)	        0.76 ( 57.78%)	        1.55 ( 13.79%)	
align=3, pos=96, len=192, seek_char=0, invert_pos=0:         1.80	        0.56 ( 68.89%)	        0.76 ( 57.77%)	        1.58 ( 12.49%)	
align=3, pos=96, len=256, seek_char=23, invert_pos=0:         1.80	        0.56 ( 68.89%)	        0.76 ( 57.78%)	        1.56 ( 13.34%)	
align=3, pos=96, len=256, seek_char=0, invert_pos=0:         1.84	        0.56 ( 69.56%)	        0.76 ( 58.70%)	        1.56 ( 15.22%)	
align=3, pos=96, len=512, seek_char=23, invert_pos=0:         1.84	        0.56 ( 69.56%)	        0.76 ( 58.70%)	        1.56 ( 15.22%)	
align=3, pos=96, len=512, seek_char=0, invert_pos=0:         1.84	        0.56 ( 69.56%)	        0.76 ( 58.70%)	        1.53 ( 16.67%)	
align=16369, pos=96, len=256, seek_char=23, invert_pos=0:         1.85	        0.64 ( 65.38%)	        0.76 ( 58.91%)	        1.57 ( 15.27%)	
align=4, pos=128, len=192, seek_char=23, invert_pos=0:         2.16	        0.64 ( 70.23%)	        0.96 ( 55.53%)	        1.91 ( 11.77%)	
align=4, pos=128, len=192, seek_char=0, invert_pos=0:         2.16	        0.64 ( 70.37%)	        0.96 ( 55.56%)	        1.90 ( 12.05%)	
align=4, pos=128, len=256, seek_char=23, invert_pos=0:         2.16	        0.64 ( 70.37%)	        0.96 ( 55.50%)	        1.90 ( 12.01%)	
align=4, pos=128, len=256, seek_char=0, invert_pos=0:         2.19	        0.64 ( 70.80%)	        0.96 ( 56.19%)	        1.91 ( 12.64%)	
align=4, pos=128, len=512, seek_char=23, invert_pos=0:         2.16	        0.64 ( 70.36%)	        0.96 ( 55.55%)	        1.90 ( 12.04%)	
align=4, pos=128, len=512, seek_char=0, invert_pos=0:         2.19	        0.64 ( 70.72%)	        0.96 ( 56.09%)	        1.90 ( 13.09%)	
align=16369, pos=128, len=256, seek_char=23, invert_pos=0:         2.17	        0.64 ( 70.45%)	        0.96 ( 55.68%)	        1.90 ( 12.28%)	
align=5, pos=160, len=192, seek_char=23, invert_pos=0:         2.60	        0.64 ( 75.36%)	        1.08 ( 58.42%)	        2.28 ( 12.06%)	
align=5, pos=160, len=192, seek_char=0, invert_pos=0:         2.57	        0.64 ( 75.09%)	        1.00 ( 61.08%)	        2.24 ( 12.84%)	
align=5, pos=160, len=256, seek_char=23, invert_pos=0:         2.54	        0.64 ( 74.84%)	        1.00 ( 60.70%)	        2.28 ( 10.39%)	
align=5, pos=160, len=256, seek_char=0, invert_pos=0:         2.55	        0.64 ( 74.88%)	        1.00 ( 60.75%)	        2.28 ( 10.52%)	
align=5, pos=160, len=512, seek_char=23, invert_pos=0:         2.57	        0.64 ( 75.14%)	        1.06 ( 58.65%)	        2.28 ( 11.45%)	
align=5, pos=160, len=512, seek_char=0, invert_pos=0:         2.57	        0.64 ( 75.13%)	        1.01 ( 60.76%)	        2.28 ( 11.40%)	
align=16369, pos=160, len=256, seek_char=23, invert_pos=0:         2.60	        0.76 ( 70.74%)	        1.02 ( 60.63%)	        2.28 ( 12.31%)	
