Function: strchr
Variant: 
                                    generic_strchr	__strchr_lasx	__strchr_lsx	__strchr_aligned
========================================================================================================================
    length=2048, pos=32, alignment=0:         1.20	        0.56 ( 53.33%)	        0.76 ( 36.66%)	        0.95 ( 20.83%)	
    length=2048, pos=32, alignment=1:         1.20	        0.56 ( 53.33%)	        0.76 ( 36.66%)	        0.95 ( 20.83%)	
    length=2048, pos=64, alignment=0:         1.65	        0.60 ( 63.67%)	        1.08 ( 34.61%)	        1.41 ( 14.64%)	
    length=2048, pos=64, alignment=2:         1.63	        0.60 ( 63.19%)	        1.08 ( 33.74%)	        1.41 ( 13.50%)	
   length=2048, pos=128, alignment=0:         2.62	        0.80 ( 69.46%)	        1.70 ( 35.09%)	        2.32 ( 11.45%)	
   length=2048, pos=128, alignment=3:         2.62	        0.80 ( 69.47%)	        1.69 ( 35.37%)	        2.32 ( 11.45%)	
   length=2048, pos=256, alignment=0:         4.69	        1.12 ( 76.10%)	        2.33 ( 50.21%)	        4.09 ( 12.72%)	
   length=2048, pos=256, alignment=4:         4.73	        1.12 ( 76.30%)	        2.33 ( 50.62%)	        4.09 ( 13.45%)	
   length=2048, pos=512, alignment=0:         8.85	        1.77 ( 80.02%)	        3.62 ( 59.05%)	        7.66 ( 13.43%)	
   length=2048, pos=512, alignment=5:         8.85	        1.76 ( 80.12%)	        3.61 ( 59.18%)	        7.67 ( 13.37%)	
  length=2048, pos=1024, alignment=0:        17.67	        3.04 ( 82.79%)	        7.12 ( 59.70%)	       15.55 ( 11.99%)	
  length=2048, pos=1024, alignment=6:        17.82	        3.04 ( 82.93%)	        7.13 ( 60.00%)	       15.54 ( 12.79%)	
  length=2048, pos=2048, alignment=0:        34.27	        5.61 ( 83.64%)	       11.69 ( 65.90%)	       29.55 ( 13.77%)	
  length=2048, pos=2048, alignment=7:        34.38	        5.61 ( 83.70%)	       11.70 ( 65.97%)	       29.55 ( 14.05%)	
    length=4096, pos=32, alignment=0:         1.20	        0.56 ( 53.33%)	        0.76 ( 36.60%)	        0.95 ( 20.84%)	
    length=4096, pos=32, alignment=1:         1.20	        0.56 ( 53.33%)	        0.76 ( 36.67%)	        0.95 ( 20.83%)	
    length=4096, pos=64, alignment=0:         1.63	        0.60 ( 63.22%)	        1.08 ( 33.81%)	        1.50 (  8.00%)	
    length=4096, pos=64, alignment=2:         1.63	        0.60 ( 63.19%)	        1.08 ( 33.74%)	        1.41 ( 13.50%)	
   length=4096, pos=128, alignment=0:         2.62	        0.80 ( 69.47%)	        1.69 ( 35.37%)	        2.33 ( 11.19%)	
   length=4096, pos=128, alignment=3:         2.62	        0.80 ( 69.47%)	        1.69 ( 35.37%)	        2.32 ( 11.38%)	
   length=4096, pos=256, alignment=0:         4.69	        1.12 ( 76.10%)	        2.33 ( 50.21%)	        4.09 ( 12.72%)	
   length=4096, pos=256, alignment=4:         4.69	        1.12 ( 76.10%)	        2.33 ( 50.21%)	        4.09 ( 12.69%)	
   length=4096, pos=512, alignment=0:         8.85	        1.76 ( 80.11%)	        3.61 ( 59.15%)	        7.68 ( 13.27%)	
   length=4096, pos=512, alignment=5:         8.85	        1.76 ( 80.11%)	        3.61 ( 59.16%)	        7.67 ( 13.34%)	
  length=4096, pos=1024, alignment=0:        18.26	        3.05 ( 83.30%)	        7.69 ( 57.91%)	       15.54 ( 14.89%)	
  length=4096, pos=1024, alignment=6:        18.14	        3.04 ( 83.24%)	        7.13 ( 60.70%)	       15.53 ( 14.38%)	
  length=4096, pos=2048, alignment=0:        33.96	        5.60 ( 83.50%)	       11.69 ( 65.57%)	       29.57 ( 12.94%)	
  length=4096, pos=2048, alignment=7:        33.83	        5.60 ( 83.44%)	       11.69 ( 65.44%)	       29.55 ( 12.65%)	
     length=256, pos=64, alignment=1:         1.64	        0.60 ( 63.40%)	        1.08 ( 34.03%)	        1.41 ( 14.00%)	
     length=256, pos=64, alignment=1:         1.63	        0.60 ( 63.19%)	        1.08 ( 33.66%)	        1.41 ( 13.50%)	
     length=256, pos=64, alignment=2:         1.63	        0.60 ( 63.19%)	        1.09 ( 33.12%)	        1.41 ( 13.50%)	
     length=256, pos=64, alignment=2:         1.63	        0.60 ( 63.19%)	        1.08 ( 33.74%)	        1.41 ( 13.50%)	
     length=256, pos=64, alignment=3:         1.63	        0.60 ( 63.19%)	        1.08 ( 33.74%)	        1.41 ( 13.50%)	
     length=256, pos=64, alignment=3:         1.64	        0.60 ( 63.44%)	        1.08 ( 34.19%)	        1.41 ( 14.09%)	
     length=256, pos=64, alignment=4:         1.63	        0.60 ( 63.19%)	        1.08 ( 33.74%)	        1.41 ( 13.50%)	
     length=256, pos=64, alignment=4:         1.63	        0.60 ( 63.23%)	        1.08 ( 33.81%)	        1.42 ( 12.87%)	
     length=256, pos=64, alignment=5:         1.63	        0.60 ( 63.19%)	        1.08 ( 33.74%)	        1.41 ( 13.50%)	
     length=256, pos=64, alignment=5:         1.63	        0.60 ( 63.19%)	        1.08 ( 33.74%)	        1.41 ( 13.50%)	
