Function: strchrnul
Variant: 
                                    generic_strchrnul	__strchrnul_lasx	__strchrnul_lsx	__strchrnul_aligned
========================================================================================================================
    length=2048, pos=32, alignment=0:         0.92	        0.44 ( 52.17%)	        0.59 ( 36.28%)	        0.86 (  6.53%)	
    length=2048, pos=32, alignment=1:         0.92	        0.44 ( 52.17%)	        0.56 ( 39.13%)	        0.86 (  6.53%)	
    length=2048, pos=64, alignment=0:         1.44	        0.44 ( 69.44%)	        0.64 ( 55.55%)	        1.36 (  5.56%)	
    length=2048, pos=64, alignment=2:         1.44	        0.44 ( 69.44%)	        0.64 ( 55.55%)	        1.36 (  5.56%)	
   length=2048, pos=128, alignment=0:         2.43	        0.62 ( 74.45%)	        0.80 ( 67.03%)	        2.24 (  7.73%)	
   length=2048, pos=128, alignment=3:         2.42	        0.64 ( 73.55%)	        0.80 ( 66.94%)	        2.24 (  7.44%)	
   length=2048, pos=256, alignment=0:         4.44	        0.96 ( 78.38%)	        1.81 ( 59.16%)	        4.02 (  9.46%)	
   length=2048, pos=256, alignment=4:         4.45	        0.96 ( 78.43%)	        1.81 ( 59.36%)	        4.02 (  9.68%)	
   length=2048, pos=512, alignment=0:         8.53	        1.60 ( 81.25%)	        3.34 ( 60.86%)	        7.59 ( 11.04%)	
   length=2048, pos=512, alignment=5:         8.53	        1.60 ( 81.24%)	        3.34 ( 60.79%)	        7.63 ( 10.56%)	
  length=2048, pos=1024, alignment=0:        16.79	        2.88 ( 82.85%)	        5.83 ( 65.26%)	       15.42 (  8.17%)	
  length=2048, pos=1024, alignment=6:        16.81	        2.88 ( 82.86%)	        5.82 ( 65.37%)	       15.43 (  8.18%)	
  length=2048, pos=2048, alignment=0:        32.19	        5.45 ( 83.06%)	       11.58 ( 64.01%)	       29.44 (  8.53%)	
  length=2048, pos=2048, alignment=7:        32.19	        5.44 ( 83.10%)	       11.58 ( 64.03%)	       29.44 (  8.54%)	
