Function: strcmp
Variant: default
                                    generic_strcmp	__strcmp_lsx	__strcmp_aligned
========================================================================================================================
        length=1, align1=1, align2=1:         0.56	        0.44 ( 21.69%)	        0.44 ( 21.36%)	
        length=1, align1=1, align2=1:         0.48	        0.44 (  8.35%)	        0.44 (  8.36%)	
        length=1, align1=1, align2=1:         0.48	        0.44 (  8.32%)	        0.44 (  8.32%)	
        length=2, align1=2, align2=2:         0.63	        0.44 ( 29.71%)	        0.44 ( 29.71%)	
        length=2, align1=2, align2=2:         0.64	        0.44 ( 31.26%)	        0.44 ( 31.25%)	
        length=2, align1=2, align2=2:         0.64	        0.44 ( 31.25%)	        0.44 ( 31.25%)	
        length=3, align1=3, align2=3:         0.64	        0.44 ( 31.26%)	        0.44 ( 31.26%)	
        length=3, align1=3, align2=3:         0.72	        0.44 ( 38.90%)	        0.44 ( 38.90%)	
        length=3, align1=3, align2=3:         0.72	        0.44 ( 38.89%)	        0.44 ( 38.89%)	
        length=4, align1=4, align2=4:         1.00	        0.44 ( 56.03%)	        0.50 ( 50.03%)	
        length=4, align1=4, align2=4:         0.80	        0.44 ( 45.00%)	        0.44 ( 44.99%)	
        length=4, align1=4, align2=4:         0.80	        0.44 ( 45.00%)	        0.44 ( 45.00%)	
        length=5, align1=5, align2=5:         0.92	        0.44 ( 52.18%)	        0.50 ( 45.65%)	
        length=5, align1=5, align2=5:         0.92	        0.44 ( 52.17%)	        0.50 ( 45.65%)	
        length=5, align1=5, align2=5:         0.92	        0.44 ( 52.18%)	        0.50 ( 45.65%)	
        length=6, align1=6, align2=6:         0.84	        0.44 ( 47.62%)	        0.50 ( 40.48%)	
        length=6, align1=6, align2=6:         0.86	        0.44 ( 48.81%)	        0.50 ( 41.82%)	
        length=6, align1=6, align2=6:         0.84	        0.44 ( 47.62%)	        0.50 ( 40.47%)	
        length=7, align1=7, align2=7:         0.74	        0.44 ( 40.54%)	        0.50 ( 32.43%)	
        length=7, align1=7, align2=7:         0.76	        0.44 ( 42.10%)	        0.50 ( 34.21%)	
        length=7, align1=7, align2=7:         0.76	        0.44 ( 42.10%)	        0.50 ( 34.21%)	
        length=8, align1=8, align2=8:         0.80	        0.44 ( 45.05%)	        0.50 ( 37.58%)	
        length=8, align1=8, align2=8:         0.52	        0.44 ( 15.37%)	        0.44 ( 15.38%)	
        length=8, align1=8, align2=8:         0.52	        0.44 ( 15.40%)	        0.44 ( 15.40%)	
