Function: strncmp
Variant: default
                                    generic_strncmp	__strncmp_lsx	__strncmp_aligned
========================================================================================================================
 strlen=8, len=1, align1=0, align2=0:         0.64	        0.56 ( 12.51%)	        0.53 ( 18.10%)	
 strlen=8, len=1, align1=0, align2=0:         0.64	        0.56 ( 12.50%)	        0.52 ( 18.77%)	
 strlen=8, len=1, align1=0, align2=0:         0.64	        0.56 ( 12.50%)	        0.52 ( 18.77%)	
 strlen=8, len=1, align1=1, align2=1:         0.64	        0.56 ( 12.55%)	        0.52 ( 18.78%)	
 strlen=8, len=1, align1=1, align2=1:         0.60	        0.56 (  6.65%)	        0.52 ( 13.30%)	
 strlen=8, len=1, align1=1, align2=1:         0.60	        0.69 (-15.23%)	        0.52 ( 13.30%)	
 strlen=8, len=1, align1=1, align2=2:         0.64	        0.72 (-12.60%)	        0.81 (-25.77%)	
 strlen=8, len=1, align1=2, align2=1:         0.60	        0.72 (-20.05%)	        0.80 (-33.35%)	
 strlen=8, len=1, align1=1, align2=3:         0.60	        0.72 (-20.06%)	        0.80 (-33.36%)	
 strlen=8, len=1, align1=0, align2=0:         0.64	        0.56 ( 12.57%)	        0.52 ( 18.81%)	
 strlen=8, len=1, align1=0, align2=0:         0.64	        0.56 ( 12.52%)	        0.52 ( 18.77%)	
 strlen=8, len=1, align1=0, align2=0:         0.64	        0.56 ( 12.54%)	        0.52 ( 18.77%)	
 strlen=8, len=1, align1=1, align2=1:         0.72	        0.56 ( 22.24%)	        0.52 ( 27.78%)	
 strlen=8, len=1, align1=1, align2=1:         0.60	        0.56 (  6.63%)	        0.52 ( 13.30%)	
 strlen=8, len=1, align1=1, align2=1:         0.60	        0.56 (  6.63%)	        0.52 ( 13.30%)	
 strlen=8, len=1, align1=1, align2=2:         0.64	        0.72 (-12.56%)	        0.80 (-25.01%)	
 strlen=8, len=1, align1=2, align2=1:         0.60	        0.72 (-20.05%)	        0.80 (-33.35%)	
 strlen=8, len=1, align1=1, align2=3:         0.60	        0.72 (-20.06%)	        0.80 (-33.36%)	
 strlen=8, len=2, align1=0, align2=0:         0.64	        0.56 ( 12.57%)	        0.52 ( 18.76%)	
 strlen=8, len=2, align1=0, align2=0:         0.64	        0.56 ( 12.50%)	        0.52 ( 18.75%)	
 strlen=8, len=2, align1=0, align2=0:         0.64	        0.56 ( 12.52%)	        0.52 ( 18.77%)	
 strlen=8, len=2, align1=2, align2=2:         0.86	        0.56 ( 34.89%)	        0.52 ( 39.54%)	
 strlen=8, len=2, align1=2, align2=2:         0.76	        0.56 ( 26.32%)	        0.52 ( 31.57%)	
 strlen=8, len=2, align1=2, align2=2:         0.76	        0.56 ( 26.31%)	        0.52 ( 31.58%)	
 strlen=8, len=2, align1=2, align2=4:         0.80	        0.72 (  9.99%)	        0.80 (  0.00%)	
 strlen=8, len=2, align1=4, align2=2:         0.76	        0.72 (  5.22%)	        0.80 ( -5.27%)	
 strlen=8, len=2, align1=2, align2=6:         0.76	        0.72 (  5.23%)	        0.80 ( -5.28%)	
 strlen=8, len=2, align1=0, align2=0:         0.64	        0.56 ( 12.54%)	        0.52 ( 18.78%)	
 strlen=8, len=2, align1=0, align2=0:         0.64	        0.56 ( 12.52%)	        0.52 ( 18.77%)	
 strlen=8, len=2, align1=0, align2=0:         0.64	        0.56 ( 12.52%)	        0.52 ( 18.77%)	
 strlen=8, len=2, align1=2, align2=2:         0.80	        0.56 ( 30.02%)	        0.52 ( 35.02%)	
 strlen=8, len=2, align1=2, align2=2:         0.76	        0.56 ( 26.30%)	        0.52 ( 31.58%)	
 strlen=8, len=2, align1=2, align2=2:         0.76	        0.56 ( 26.31%)	        0.52 ( 31.57%)	
 strlen=8, len=2, align1=2, align2=4:         0.80	        0.72 (  9.93%)	        0.80 ( -0.05%)	
 strlen=8, len=2, align1=4, align2=2:         0.76	        0.72 (  5.19%)	        0.80 ( -5.33%)	
 strlen=8, len=2, align1=2, align2=6:         0.76	        0.72 (  4.97%)	        0.80 ( -5.55%)	
 strlen=8, len=3, align1=0, align2=0:         0.64	        0.61 (  5.20%)	        0.52 ( 18.77%)	
 strlen=8, len=3, align1=0, align2=0:         0.64	        0.56 ( 12.52%)	        0.52 ( 18.75%)	
 strlen=8, len=3, align1=0, align2=0:         0.64	        0.56 ( 12.50%)	        0.52 ( 18.77%)	
 strlen=8, len=3, align1=3, align2=3:         0.88	        0.56 ( 36.37%)	        0.52 ( 40.91%)	
 strlen=8, len=3, align1=3, align2=3:         0.84	        0.56 ( 33.36%)	        0.52 ( 38.11%)	
 strlen=8, len=3, align1=3, align2=3:         0.84	        0.56 ( 33.33%)	        0.52 ( 38.09%)	
 strlen=8, len=3, align1=3, align2=6:         0.88	        0.72 ( 18.17%)	        1.00 (-13.65%)	
 strlen=8, len=3, align1=6, align2=3:         1.12	        0.73 ( 35.22%)	        1.00 ( 10.74%)	
 strlen=8, len=3, align1=3, align2=9:         0.84	        0.72 ( 14.25%)	        0.80 (  4.74%)	
 strlen=8, len=3, align1=0, align2=0:         0.64	        0.56 ( 12.52%)	        0.52 ( 18.77%)	
 strlen=8, len=3, align1=0, align2=0:         0.64	        0.56 ( 12.52%)	        0.52 ( 18.77%)	
 strlen=8, len=3, align1=0, align2=0:         0.64	        0.56 ( 12.52%)	        0.52 ( 18.75%)	
 strlen=8, len=3, align1=3, align2=3:         0.88	        0.56 ( 36.35%)	        0.52 ( 40.90%)	
 strlen=8, len=3, align1=3, align2=3:         0.84	        0.56 ( 33.32%)	        0.52 ( 38.10%)	
 strlen=8, len=3, align1=3, align2=3:         0.84	        0.56 ( 33.31%)	        0.52 ( 38.07%)	
 strlen=8, len=3, align1=3, align2=6:         0.88	        0.72 ( 18.13%)	        1.06 (-20.17%)	
 strlen=8, len=3, align1=6, align2=3:         1.12	        0.72 ( 35.77%)	        1.00 ( 10.84%)	
 strlen=8, len=3, align1=3, align2=9:         0.84	        0.72 ( 14.26%)	        0.80 (  4.76%)	
 strlen=8, len=4, align1=0, align2=0:         0.64	        0.56 ( 12.50%)	        0.52 ( 18.73%)	
 strlen=8, len=4, align1=0, align2=0:         0.64	        0.56 ( 12.54%)	        0.52 ( 18.78%)	
 strlen=8, len=4, align1=0, align2=0:         0.64	        0.56 ( 12.52%)	        0.52 ( 18.77%)	
 strlen=8, len=4, align1=4, align2=4:         0.96	        0.57 ( 40.88%)	        0.56 ( 41.37%)	
 strlen=8, len=4, align1=4, align2=4:         0.92	        0.56 ( 39.15%)	        0.52 ( 43.48%)	
 strlen=8, len=4, align1=4, align2=4:         0.92	        0.56 ( 39.02%)	        0.52 ( 43.37%)	
 strlen=8, len=4, align1=4, align2=8:         0.96	        0.72 ( 24.96%)	        0.67 ( 30.13%)	
 strlen=8, len=4, align1=8, align2=4:         0.90	        0.72 ( 19.89%)	        0.80 ( 10.89%)	
strlen=8, len=4, align1=4, align2=12:         0.92	        0.72 ( 21.72%)	        0.52 ( 43.47%)	
 strlen=8, len=4, align1=0, align2=0:         0.64	        0.56 ( 12.53%)	        0.52 ( 18.78%)	
 strlen=8, len=4, align1=0, align2=0:         0.64	        0.56 ( 12.50%)	        0.52 ( 18.77%)	
 strlen=8, len=4, align1=0, align2=0:         0.64	        0.56 ( 12.54%)	        0.52 ( 18.75%)	
 strlen=8, len=4, align1=4, align2=4:         0.96	        0.62 ( 35.15%)	        0.56 ( 41.66%)	
 strlen=8, len=4, align1=4, align2=4:         0.92	        0.56 ( 39.12%)	        0.52 ( 43.46%)	
 strlen=8, len=4, align1=4, align2=4:         0.92	        0.56 ( 39.12%)	        0.52 ( 43.47%)	
 strlen=8, len=4, align1=4, align2=8:         0.96	        0.72 ( 24.84%)	        0.67 ( 30.15%)	
 strlen=8, len=4, align1=8, align2=4:         0.90	        0.72 ( 19.98%)	        0.80 ( 11.13%)	
strlen=8, len=4, align1=4, align2=12:         0.92	        0.72 ( 21.70%)	        0.52 ( 43.45%)	
 strlen=8, len=5, align1=0, align2=0:         0.64	        0.56 ( 12.48%)	        0.52 ( 18.75%)	
 strlen=8, len=5, align1=0, align2=0:         0.64	        0.56 ( 12.57%)	        0.52 ( 18.80%)	
 strlen=8, len=5, align1=0, align2=0:         0.64	        0.56 ( 12.50%)	        0.52 ( 18.75%)	
 strlen=8, len=5, align1=5, align2=5:         1.08	        0.56 ( 48.19%)	        0.69 ( 35.85%)	
 strlen=8, len=5, align1=5, align2=5:         1.08	        0.56 ( 48.16%)	        0.69 ( 35.82%)	
 strlen=8, len=5, align1=5, align2=5:         1.08	        0.56 ( 48.17%)	        0.72 ( 33.36%)	
strlen=8, len=5, align1=5, align2=10:         1.28	        0.72 ( 43.73%)	        1.00 ( 21.85%)	
strlen=8, len=5, align1=10, align2=5:         1.00	        0.72 ( 28.09%)	        1.00 (  0.16%)	
strlen=8, len=5, align1=5, align2=15:         1.20	        0.87 ( 27.34%)	        0.98 ( 18.49%)	
 strlen=8, len=5, align1=0, align2=0:         0.65	        0.56 ( 13.54%)	        0.52 ( 19.71%)	
 strlen=8, len=5, align1=0, align2=0:         0.64	        0.56 ( 12.52%)	        0.52 ( 18.75%)	
 strlen=8, len=5, align1=0, align2=0:         0.64	        0.56 ( 12.52%)	        0.52 ( 18.77%)	
 strlen=8, len=5, align1=5, align2=5:         1.08	        0.56 ( 48.16%)	        0.69 ( 35.81%)	
 strlen=8, len=5, align1=5, align2=5:         1.08	        0.56 ( 48.15%)	        0.72 ( 33.33%)	
 strlen=8, len=5, align1=5, align2=5:         1.08	        0.56 ( 48.15%)	        0.69 ( 35.82%)	
strlen=8, len=5, align1=5, align2=10:         1.28	        0.72 ( 43.73%)	        1.00 ( 21.79%)	
strlen=8, len=5, align1=10, align2=5:         1.00	        0.72 ( 27.86%)	        1.00 (  0.00%)	
strlen=8, len=5, align1=5, align2=15:         1.20	        0.80 ( 33.31%)	        0.98 ( 18.32%)	
 strlen=8, len=6, align1=0, align2=0:         0.64	        0.56 ( 12.48%)	        0.52 ( 18.75%)	
 strlen=8, len=6, align1=0, align2=0:         0.64	        0.56 ( 12.48%)	        0.52 ( 18.72%)	
 strlen=8, len=6, align1=0, align2=0:         0.64	        0.56 ( 12.49%)	        0.52 ( 18.74%)	
 strlen=8, len=6, align1=6, align2=6:         1.00	        0.56 ( 44.00%)	        0.69 ( 30.68%)	
 strlen=8, len=6, align1=6, align2=6:         1.00	        0.56 ( 44.03%)	        0.90 ( 10.52%)	
 strlen=8, len=6, align1=6, align2=6:         1.00	        0.56 ( 44.01%)	        0.72 ( 28.02%)	
strlen=8, len=6, align1=6, align2=12:         1.21	        0.80 ( 33.55%)	        0.98 ( 18.62%)	
strlen=8, len=6, align1=12, align2=6:         1.32	        0.80 ( 39.38%)	        0.98 ( 25.77%)	
strlen=8, len=6, align1=6, align2=18:         1.20	        0.72 ( 40.01%)	        1.00 ( 16.70%)	
 strlen=8, len=6, align1=0, align2=0:         0.64	        0.56 ( 12.52%)	        0.52 ( 18.73%)	
 strlen=8, len=6, align1=0, align2=0:         0.64	        0.56 ( 12.53%)	        0.52 ( 18.80%)	
 strlen=8, len=6, align1=0, align2=0:         0.64	        0.56 ( 12.50%)	        0.52 ( 18.75%)	
 strlen=8, len=6, align1=6, align2=6:         1.00	        0.56 ( 44.02%)	        0.69 ( 30.69%)	
 strlen=8, len=6, align1=6, align2=6:         1.00	        0.56 ( 43.99%)	        0.69 ( 30.67%)	
 strlen=8, len=6, align1=6, align2=6:         1.00	        0.56 ( 44.02%)	        0.69 ( 30.72%)	
strlen=8, len=6, align1=6, align2=12:         1.20	        0.80 ( 33.20%)	        0.98 ( 18.32%)	
strlen=8, len=6, align1=12, align2=6:         1.32	        0.80 ( 39.39%)	        0.98 ( 25.78%)	
strlen=8, len=6, align1=6, align2=18:         1.20	        0.72 ( 39.98%)	        1.00 ( 16.69%)	
 strlen=8, len=7, align1=0, align2=0:         0.64	        0.56 ( 12.54%)	        0.52 ( 18.77%)	
 strlen=8, len=7, align1=0, align2=0:         0.64	        0.56 ( 12.54%)	        0.52 ( 18.38%)	
 strlen=8, len=7, align1=0, align2=0:         0.64	        0.56 ( 12.48%)	        0.52 ( 18.73%)	
 strlen=8, len=7, align1=7, align2=7:         0.92	        0.56 ( 39.14%)	        0.69 ( 24.67%)	
 strlen=8, len=7, align1=7, align2=7:         0.92	        0.56 ( 39.15%)	        0.69 ( 24.66%)	
 strlen=8, len=7, align1=7, align2=7:         0.92	        0.56 ( 39.14%)	        0.72 ( 21.77%)	
strlen=8, len=7, align1=7, align2=14:         1.12	        0.80 ( 28.58%)	        0.98 ( 12.53%)	
strlen=8, len=7, align1=14, align2=7:         1.12	        0.80 ( 28.56%)	        0.98 ( 12.64%)	
strlen=8, len=7, align1=7, align2=21:         1.12	        0.72 ( 35.71%)	        0.98 ( 12.52%)	
 strlen=8, len=7, align1=0, align2=0:         0.64	        0.56 ( 12.54%)	        0.52 ( 18.75%)	
 strlen=8, len=7, align1=0, align2=0:         0.64	        0.56 ( 12.50%)	        0.52 ( 18.71%)	
 strlen=8, len=7, align1=0, align2=0:         0.64	        0.56 ( 12.68%)	        0.52 ( 18.94%)	
 strlen=8, len=7, align1=7, align2=7:         0.92	        0.56 ( 39.13%)	        0.69 ( 24.64%)	
 strlen=8, len=7, align1=7, align2=7:         0.92	        0.56 ( 39.14%)	        0.69 ( 24.65%)	
