Function: strnlen
Variant: 
                                    generic_strnlen	__strnlen_lasx	__strnlen_lsx	__strnlen_aligned
========================================================================================================================
len=1, maxlen=128, max_char=127, align=0:         0.92	        0.44 ( 52.23%)	        0.40 ( 56.56%)	        0.44 ( 52.23%)	
len=128, maxlen=1, max_char=127, align=0:         0.92	        0.44 ( 52.16%)	        0.40 ( 56.51%)	        0.48 ( 47.80%)	
len=1, maxlen=2, max_char=127, align=0:         0.92	        0.44 ( 52.16%)	        0.40 ( 56.53%)	        0.44 ( 52.18%)	
len=2, maxlen=1, max_char=127, align=0:         0.92	        0.44 ( 52.18%)	        0.40 ( 56.53%)	        0.44 ( 52.18%)	
len=1, maxlen=128, max_char=127, align=32:         0.92	        0.44 ( 52.18%)	        0.40 ( 56.53%)	        0.44 ( 52.18%)	
len=128, maxlen=1, max_char=127, align=32:         0.92	        0.44 ( 52.18%)	        0.40 ( 56.53%)	        0.48 ( 47.81%)	
len=1, maxlen=2, max_char=127, align=32:         0.92	        0.44 ( 52.18%)	        0.40 ( 56.51%)	        0.44 ( 52.16%)	
len=2, maxlen=1, max_char=127, align=32:         0.92	        0.44 ( 52.18%)	        0.40 ( 56.51%)	        0.44 ( 52.18%)	
len=1, maxlen=128, max_char=127, align=1:         0.92	        0.44 ( 52.16%)	        0.40 ( 56.51%)	        0.44 ( 52.16%)	
len=128, maxlen=1, max_char=127, align=1:         0.92	        0.44 ( 52.18%)	        0.40 ( 56.51%)	        0.48 ( 47.81%)	
len=1, maxlen=2, max_char=127, align=1:         0.92	        0.44 ( 52.17%)	        0.40 ( 56.52%)	        0.44 ( 52.17%)	
len=2, maxlen=1, max_char=127, align=1:         0.92	        0.44 ( 52.16%)	        0.40 ( 56.51%)	        0.44 ( 52.16%)	
len=1, maxlen=128, max_char=127, align=33:         0.92	        0.44 ( 52.18%)	        0.40 ( 56.53%)	        0.44 ( 52.18%)	
len=128, maxlen=1, max_char=127, align=33:         0.92	        0.44 ( 52.18%)	        0.40 ( 56.53%)	        0.48 ( 47.80%)	
len=1, maxlen=2, max_char=127, align=33:         1.01	        0.44 ( 56.41%)	        0.40 ( 60.38%)	        0.44 ( 56.40%)	
len=2, maxlen=1, max_char=127, align=33:         0.92	        0.44 ( 52.16%)	        0.40 ( 56.53%)	        0.44 ( 52.18%)	
len=1, maxlen=0, max_char=127, align=0:         0.68	        0.36 ( 47.06%)	        0.36 ( 47.04%)	        0.32 ( 52.93%)	
len=1, maxlen=1, max_char=127, align=0:         0.92	        0.44 ( 52.18%)	        0.40 ( 56.53%)	        0.44 ( 52.18%)	
len=1, maxlen=2, max_char=127, align=0:         0.92	        0.44 ( 52.18%)	        0.40 ( 56.51%)	        0.44 ( 52.18%)	
len=2, maxlen=1, max_char=127, align=0:         0.92	        0.44 ( 52.18%)	        0.40 ( 56.53%)	        0.44 ( 52.18%)	
len=2, maxlen=2, max_char=127, align=0:         0.92	        0.44 ( 52.18%)	        0.40 ( 56.53%)	        0.44 ( 52.18%)	
len=2, maxlen=3, max_char=127, align=0:         0.92	        0.44 ( 52.17%)	        0.40 ( 56.52%)	        0.44 ( 52.16%)	
